NAV,Date
105.23,01-Apr-24
105.96,02-Apr-24
106.29,03-Apr-24
106.68,04-Apr-24
107.11,05-Apr-24
107.14,08-Apr-24
106.7,09-Apr-24
107.27,10-Apr-24
107.21,12-Apr-24
105.88,15-Apr-24
105.98,16-Apr-24
105.89,18-Apr-24
105.75,19-Apr-24
106.03,22-Apr-24
106.66,23-Apr-24
107.73,24-Apr-24
107.94,25-Apr-24
108.01,26-Apr-24
109,29-Apr-24
109.56,30-Apr-24
110.17,02-May-24
109.92,03-May-24
110.32,06-May-24
108.82,07-May-24
109.3,08-May-24
107.91,09-May-24
108.7,10-May-24
109.79,13-May-24
110.49,14-May-24
111.58,15-May-24
113.17,16-May-24
114.59,17-May-24
115.06,21-May-24
115.36,22-May-24
116.1,23-May-24
116.35,24-May-24
116.76,27-May-24
115.79,28-May-24
115.69,29-May-24
114.65,30-May-24
114.63,31-May-24
118.01,03-Jun-24
111.12,04-Jun-24
114.78,05-Jun-24
117.13,06-Jun-24
118.48,07-Jun-24
119.11,10-Jun-24
119.8,11-Jun-24
120.94,12-Jun-24
122.01,13-Jun-24
124.08,14-Jun-24
125.22,18-Jun-24
124,19-Jun-24
124.64,20-Jun-24
123.81,21-Jun-24
124.52,24-Jun-24
124.53,25-Jun-24
124.36,26-Jun-24
124.53,27-Jun-24
124.86,28-Jun-24
126,01-Jul-24
125.67,02-Jul-24
126.64,03-Jul-24
127.56,04-Jul-24
128.1,05-Jul-24
127.26,08-Jul-24
127.64,09-Jul-24
127.18,10-Jul-24
127.22,11-Jul-24
126.88,12-Jul-24
127.35,15-Jul-24
127.43,16-Jul-24
126.35,18-Jul-24
123.71,19-Jul-24
124.94,22-Jul-24
124.55,23-Jul-24
125.11,24-Jul-24
124.84,25-Jul-24
126.92,26-Jul-24
127.84,29-Jul-24
